sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C),tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
8,13575,lh2,1470,750,5.98259792029086,0.000388786280177,0.0368658,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13576,lh2,1470,750,5.98266807301834,0.000381191108993,0.0355275,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13577,lh2,1470,750,5.9825784726129,0.000239874210951,0.036044,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13578,lh2,1470,750,5.98256713682229,0.000318867964182,0.0362032,none,none,none,-------[ 2021-10-24 04:30:00 ]
8,13580,lh2,1050,750,5.98244826665988,0.000125082745891,0.0304745,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13656,lh2,1470,750,4.0268566366,9.18814342994951E-05,0.0119316,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13657,lh2,1470,750,4.02677622265781,0.00013895156937,0.00484809,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13663,lh2,1470,750,4.02682121323887,0.000139600905649,0.0294374,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13676,lh2,1470,750,4.02678063106635,6.45091382505273E-05,0.0299769,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13683,lh2,1470,750,4.02677407255269,5.42986945629408E-05,0.0465479,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13696,lh2,1470,750,4.02670667489324,8.97034798926295E-05,0.0527743,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13697,lh2,1470,750,4.02675986142857,5.02328440936704E-05,0.0397992,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13719,lh2,1470,750,4.02685131462121,0.000233727188755,0.0551724,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13720,lh2,1470,750,4.02689797843636,0.000127787352715,0.0309702,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13730,lh2,1470,750,4.02703948526377,0.000161281872762,0.0873423,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13747,lh2,1470,750,4.02668925173684,0.000567179593066,0.0897387,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13768,lh2,1470,750,4.0266568667647,0.000668570649614,0.0514135,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13769,lh2,1470,750,4.02670509654717,0.000623773031514,0.0491025,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13795,lh2,1470,750,4.02692150714286,0.000333935400656,0.0476982,none,none,none,-------[ 2021-10-24 04:30:00 ]
9,13796,lh2,1470,750,4.02696186526582,0.00023218770063,0.0490025,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11449,ld2,630,750,3.73954800541667,0.000227884379623,0,none,none,none,none
4,11451,ld2,630,750,3.73934434445946,0.000214506828152,0,none,none,none,none
4,11452,ld2,630,750,3.73943602365079,0.000128201977711,0,none,none,none,none
4,11456,ld2,630,750,3.73941375583333,0.00017533923785,0,none,none,none,none
4,11493,ld2,630,750,3.73920992940741,0.000346081936229,0,none,none,none,none
4,11494,ld2,630,750,3.73907501811828,0.00010248189147,0,none,none,none,none
4,11495,ld2,630,750,3.73915884454545,0.000107082857082,0,none,none,none,none
4,11496,ld2,630,750,3.73908159493827,8.79200678784433E-05,0,none,none,none,none
4,11551,ld2,630,750,3.73920846712121,0.000187314967793,0,none,none,none,none
4,11554,ld2,630,750,3.73917625754386,0.000199008747621,0,none,none,none,none
4,11562,ld2,630,750,3.739323417,0.000134481104653,0,none,none,none,none
4,11563,ld2,630,750,3.739350498,4.41015955870392E-05,0,none,none,none,none
4,11564,ld2,630,750,3.73934059741935,3.55591595696064E-05,0,none,none,none,none
4,11565,ld2,630,750,3.73930925559524,0.000122787572341,0,none,none,none,none
4,11568,ld2,630,750,3.73933698632184,4.90943319115583E-05,0,none,none,none,none
4,11570,ld2,630,750,3.73929887188679,0.00012684871154,0,none,none,none,none
4,11571,ld2,630,750,3.73931567957143,8.99208011181723E-05,0,none,none,none,none
4,11579,ld2,0,750,3.73932257368159,9.73018283198522E-05,0,none,none,none,none
4,11580,ld2,0,750,3.73932753275862,9.87073110890776E-05,0,none,none,none,none
4,11581,ld2,0,750,3.73932809295775,9.65558563792464E-05,0,none,none,none,none
4,11582,ld2,0,750,3.73930379011364,0.00010256132494,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11583,ld2,0,750,3.73919048679348,0.000174633720597,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11586,ld2,0,750,3.73927801747253,0.000129902279916,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11593,ld2,1050,750,3.73933011751479,0.000205442325662,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11594,ld2,1050,750,3.73933353818182,0.000189008376882,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
4,11595,ld2,1050,750,3.73943421267857,7.25399728422439E-05,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,11996,ld2,1785,750,7.9308120075,0.000558672076464,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,11997,ld2,1785,750,7.93105435662921,0.000255134095032,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,11998,ld2,1785,750,7.93086875537313,0.000816891468114,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,11999,ld2,1785,750,7.93097481334975,0.000795408454678,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12001,ld2,1785,750,7.9306633275,0.00086063106578,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12002,ld2,1785,750,7.93108227763547,0.00098627024074,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12004,ld2,1785,750,7.93091771583333,0.000533720291018,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12006,ld2,1785,750,7.9310043475,0.001015261031957,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12013,ld2,1785,750,7.93113655666667,0.000395630036943,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12014,ld2,1785,750,7.93099283456989,0.00061438529544,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
